aggregation,graph_set,fusion_mode,graph,model,history,horizon,input_channels,hidden_dim,dropout,epochs_requested,epochs_ran,best_epoch,train_windows,validation_windows,test_windows,validation_wmape,validation_mae,validation_rmse,validation_mase,test_wmape,test_mae,test_rmse,test_mase,preprocessing_enabled,selected_residual_lag,fusion_weights,milestone,graph_source,run_dir
community,ATD,single,ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,3,15813,1704,4631,0.21564989076068214,60.0519896446991,124.68711153236191,0.5906561625486718,0.2354877851064451,49.58873404298602,151.9647763640738,0.487742230170425,true,56,"{""ATD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed62\runs\m31_single_community_atd
community,DC,single,DC,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,3,15813,1704,4631,0.21551616699808687,60.01475161050258,124.61828522671625,0.5902898986744937,0.2353904240342789,49.568231865721884,151.94418122549004,0.48754057594683686,true,56,"{""DC"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed62\runs\m31_single_community_dc
community,DE,single,DE,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,3,15813,1704,4631,0.2157474757304453,60.079164115193954,124.86386619955164,0.5909234437587825,0.23550094547961803,49.59150533851153,152.1619503701436,0.4877694879314097,true,56,"{""DE"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed62\runs\m31_single_community_de
community,SD,single,SD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,3,15813,1704,4631,0.21568082956064022,60.06060516723958,124.73618928899369,0.5907409026465806,0.2354899392842022,49.58918766714248,152.01775349135457,0.48774669190275194,true,56,"{""SD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed62\runs\m31_single_community_sd
community,SD+DE+DC+ATD,equal,SD+DE+DC+ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,3,15813,1704,4631,0.21564692574826322,60.05116397817801,124.73168380317605,0.5906480415018627,0.23546750135393643,49.584462714823104,152.03466769477117,0.4877002184682879,true,56,"{""SD"": 0.25, ""DE"": 0.25, ""DC"": 0.25, ""ATD"": 0.25}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed62\runs\m32_fusion_equal_community
community,SD+DE+DC+ATD,learned,SD+DE+DC+ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,3,15813,1704,4631,0.21564551873166607,60.0507721664974,124.73128221071015,0.5906441877413947,0.2354677679092281,49.58451884571525,152.03686421260127,0.4877007705575285,true,56,"{""SD"": 0.23483632504940033, ""DE"": 0.23839843273162842, ""DC"": 0.26812097430229187, ""ATD"": 0.2586442828178406}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed62\runs\m32_fusion_learned_community
station,ATD,single,ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.8723604756626832,2.7051901816499924,6.25654877032725,1.784818209611077,0.8711524705617751,2.042831153440443,5.511311896234419,1.3478099493904812,true,56,"{""ATD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed62\runs\m31_single_station_atd
station,DC,single,DC,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,15,5,15813,1704,4631,0.886216301349917,2.7481571026115197,6.6331068859312685,1.8131667314500401,0.8822390339990795,2.0688288724846355,5.730255759625145,1.364962607518985,true,56,"{""DC"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed62\runs\m31_single_station_dc
station,DE,single,DE,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.873188387241118,2.707757535783678,6.292270963888519,1.7865120869729736,0.871490346659891,2.0436234645944125,5.526632633795496,1.3483326968796872,true,56,"{""DE"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed62\runs\m31_single_station_de
station,SD,single,SD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.8741423208729815,2.7107156843551183,6.289777072320255,1.7884638009311478,0.8724116073664727,2.045783798330976,5.531425438904738,1.3497580321548228,true,56,"{""SD"": 1.0}",M3.1_single_graph,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed62\runs\m31_single_station_sd
station,SD+DE+DC+ATD,equal,SD+DE+DC+ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.8744061267170993,2.711533746382547,6.313945443133787,1.7890035382158127,0.873388853105131,2.04807541559312,5.557015870505946,1.3512699850839283,true,56,"{""SD"": 0.25, ""DE"": 0.25, ""DC"": 0.25, ""ATD"": 0.25}",M3.2_multi_graph_fusion,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\train,data\artifacts\experiments\stgnn_milestones_seed62\runs\m32_fusion_equal_station
station,SD+DE+DC+ATD,learned,SD+DE+DC+ATD,A3T_GCN_graph_fusion,8,1,11,64,0.1,120,14,4,15813,1704,4631,0.8735313178770875,2.7088209638220775,6.2885639137706715,1.787213710740656,0.8724065142096012,2.0457718550031685,5.53720629227281,1.349750152239725,true,56,"{""SD"": 0.28991565108299255, ""DE"": 0.2731950581073761, ""DC"": 0.12693360447883606, ""ATD"": 0.3099556267261505}",M3.leakage_sensitivity_leaky,C:\Users\stefa\OneDrive\Documents\uni\master's\EIT\Aalto\multidisciplinary_research\data\artifacts\graphs\leaky_full,data\artifacts\experiments\stgnn_milestones_seed62\runs\leakage_leaky_fusion_learned_station
