hour,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,19057,16938,20221,24241,24440,55972,60343
1,10916,9094,11077,13969,14297,42234,48658
2,6675,5994,7530,9584,9845,31525,39826
3,4435,3613,4591,6621,5928,20733,28561
4,4342,3714,4271,5734,5262,14304,19545
5,10617,10403,10359,10630,9754,9704,10807
6,35263,38729,38703,36300,32720,10164,9028
7,98346,109342,110405,102595,90435,14967,9873
8,151654,162966,162887,156873,133713,27726,15788
9,96651,101361,103122,103064,93051,49941,31251
10,63614,69196,71460,71835,70301,72071,53224
11,77448,84100,88254,88194,88377,98059,83580
12,88137,94344,98285,100172,100712,122278,108917
13,91121,96480,100432,102503,106542,135306,127752
14,105768,110948,114590,116194,125525,142626,138423
15,152867,157391,162082,161287,163533,144245,143065
16,221915,226241,230253,220516,198679,142944,143270
17,214978,221290,224169,211184,183368,141407,144013
18,178591,185215,185579,177989,159467,133232,137490
19,151472,161135,161031,154241,136070,118660,118422
20,128415,138421,140948,133864,119309,101139,101565
21,91028,98801,104404,101179,95124,83780,73654
22,51980,59353,64887,67070,77514,69915,47081
23,29072,35176,39437,41994,66665,65321,31528
