graph,quantile,resolution,community_count,modularity,nmi_vs_baseline
SD,0.8,0.8,44,0.874253746161298,0.7697029919256325
SD,0.8,1.0,48,0.8781680543176817,0.7981587896316692
SD,0.8,1.2,49,0.8756712567997715,0.8140686459910632
SD,0.8,1.4,51,0.8763784231859372,0.8305210093660643
SD,0.85,0.8,96,0.9055179047843981,0.8858022008557471
SD,0.85,1.0,96,0.9048803220137553,0.8794840252798877
SD,0.85,1.2,97,0.9057305542275085,0.8808771280225725
SD,0.85,1.4,97,0.9057562954837812,0.8846894845770278
SD,0.9,0.8,170,0.9351071355771079,0.99635524124602
SD,0.9,1.0,171,0.9352629599073814,1.0
SD,0.9,1.2,171,0.9352629599073814,1.0000000000000002
SD,0.9,1.4,172,0.9331100234818037,0.9880397545930861
SD,0.95,0.8,291,0.9390886390199681,0.90954218354277
SD,0.95,1.0,291,0.9390886390199681,0.9095421835427703
SD,0.95,1.2,291,0.9390886390199681,0.9095421835427703
SD,0.95,1.4,291,0.9390886390199681,0.9095421835427703
DE,0.8,0.8,6,0.6718401600847892,0.8158511334572797
DE,0.8,1.0,8,0.6778553963499893,0.8407783529426966
DE,0.8,1.2,8,0.6781255174592644,0.8640013125591871
DE,0.8,1.4,8,0.6775155446066142,0.8459519219389353
DE,0.85,0.8,7,0.699571530679173,0.8650171842683787
DE,0.85,1.0,8,0.7008340187151502,0.8657697271955098
DE,0.85,1.2,8,0.6953756862621728,0.8844375378922278
DE,0.85,1.4,9,0.6935120566604834,0.9223246281224122
DE,0.9,0.8,8,0.7373537022764731,0.8906306273970944
DE,0.9,1.0,9,0.7349105584828947,1.0
DE,0.9,1.2,9,0.7342987347677976,0.9308092952521647
DE,0.9,1.4,11,0.7279212060896353,0.9336693197621533
DE,0.95,0.8,8,0.7884628371911994,0.8566813598835659
DE,0.95,1.0,9,0.7920372733402447,0.843430787657722
DE,0.95,1.2,10,0.7887020950697515,0.8279309890913781
DE,0.95,1.4,12,0.7839595280521042,0.7938365765757684
DC,0.8,0.8,25,0.36540606514858687,0.7160438070183505
DC,0.8,1.0,26,0.3657662029184003,0.7365178919403028
DC,0.8,1.2,27,0.3635291647364933,0.7391264141971168
DC,0.8,1.4,33,0.32972526936059604,0.7045063967080935
DC,0.85,0.8,45,0.3640309298862986,0.7945617204385783
DC,0.85,1.0,46,0.3726429891805364,0.8096172123632699
DC,0.85,1.2,47,0.36121634733959507,0.8187579702088066
DC,0.85,1.4,49,0.3403754044088549,0.7769229927681746
DC,0.9,0.8,83,0.34752078630804956,0.928402773881706
DC,0.9,1.0,84,0.37892247778901816,1.0
DC,0.9,1.2,85,0.36946519908029435,0.9298332674281814
DC,0.9,1.4,88,0.34077955337592786,0.9060667956087461
DC,0.95,0.8,156,0.35411184789528793,0.7865562466154181
DC,0.95,1.0,156,0.36141454275049006,0.7963532248592494
DC,0.95,1.2,157,0.35623486868813475,0.7775718815792677
DC,0.95,1.4,160,0.3353085546250095,0.7604671494376607
ATD,0.8,0.8,6,0.6499998300717476,0.7702445806830559
ATD,0.8,1.0,6,0.6499802721828835,0.7789266488854917
ATD,0.8,1.2,6,0.6498566126232501,0.7770000547677482
ATD,0.8,1.4,5,0.6459827909816458,0.8145433779687675
ATD,0.85,0.8,6,0.6682350182679073,0.813476209270046
ATD,0.85,1.0,6,0.6682963385925658,0.7960196783957569
ATD,0.85,1.2,6,0.6682908464166077,0.7998523701008396
ATD,0.85,1.4,6,0.6683490011926351,0.8173638164104486
ATD,0.9,0.8,7,0.6720543143036991,0.9717697713467108
ATD,0.9,1.0,8,0.672679762258339,1.0
ATD,0.9,1.2,9,0.6697791844440617,0.892329689983538
ATD,0.9,1.4,9,0.6600755069726079,0.8607468030209383
ATD,0.95,0.8,88,0.6824200364454566,0.5757702057930054
ATD,0.95,1.0,88,0.6834815568444224,0.5728755114799023
ATD,0.95,1.2,90,0.680773157104946,0.5641344243090473
ATD,0.95,1.4,91,0.6806528496285843,0.5645636230442274
